Blackberry & clotted cream shortcake,"A classic teatime treat made using ingredients that are proud to be British",false
Lemon drizzle cake,"It's difficult not to demolish this classic by Tana Ramsay in just one sitting, so why not make two at once?",false
Strawberry jam,"Make a jam with British strawberries for the ultimate flavour",true
Pimm's cake,"Yes, you read right, Pimm's in cake form. Smooth strawberry and lemon buttercream coupled with cucumber essence make this the ultimate taste of summer",false
Quick peach Melba crumbles,"Raspberries, peaches and a crunchy granola topping make for an easy 10-minute dessert that's perfect for summer",true
